qscore,empirical_qscore,num_correct,num_error,error_rate
0,4.1622,172,107,0.383513
1,2.6903,3913,4561,0.538235
2,4.4556,16358,9140,0.358459
3,5.8381,17962,6335,0.260732
4,6.7741,21544,5733,0.210177
5,7.6962,31761,6504,0.169973
6,8.5832,37852,6089,0.138572
7,9.3357,46020,6070,0.116529
8,10.1710,58769,6251,0.096140
9,10.9935,73218,6328,0.079551
10,11.0833,72561,6132,0.077923
11,10.9764,89748,7790,0.079866
12,10.8047,118402,10729,0.083086
13,11.3742,244608,19227,0.072875
14,12.4697,293152,17597,0.056628
15,10.7918,11,1,0.083333
